question_id,question,correct_answer,category,source,external_difficulty,model_name,model_label,majority_answer,is_correct,c_beh,c_rep,gap,k_samples,empirical_difficulty,difficulty_bucket
arc_0008,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?,B,science,arc_challenge,challenge,openai/gpt-oss-120b,GPT-OSS-120B,B,True,1.0,0.888,-0.112,10,0.0,easy
tqa_0008,What did Gandhi say about changing the world?,C,truthfulness,truthfulqa,ambiguous,openai/gpt-oss-120b,GPT-OSS-120B,B,False,0.4444,0.6544,0.21,9,0.9090909090909091,hard
arc_0001,Current moving through a circuit is stopped with a,C,science,arc_challenge,challenge,openai/gpt-oss-120b,GPT-OSS-120B,C,True,1.0,0.9122,-0.0878,9,0.09090909090909094,easy
gsm8k_0009,"Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?",B,math,gsm8k,hard_5+_steps,openai/gpt-oss-120b,GPT-OSS-120B,B,True,1.0,0.9078,-0.0922,9,0.18181818181818177,easy
arc_0005,"When a layer of sediment is deposited on the ocean floor, what is the next step in the formation of sedimentary rocks?",B,science,arc_challenge,challenge,openai/gpt-oss-120b,GPT-OSS-120B,B,True,1.0,0.891,-0.109,10,0.0,easy
mmlu_public_relations_0011,Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,C,knowledge,mmlu,public_relations,openai/gpt-oss-120b,GPT-OSS-120B,C,True,0.375,0.6225,0.2475,8,0.5454545454545454,medium
gsm8k_0010,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,D,math,gsm8k,easy_1-2_steps,openai/gpt-oss-120b,GPT-OSS-120B,D,True,1.0,0.933,-0.067,10,0.2727272727272727,easy
gsm8k_0013,"Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?",D,math,gsm8k,medium_3-4_steps,openai/gpt-oss-120b,GPT-OSS-120B,D,True,1.0,0.911,-0.089,10,0.2727272727272727,easy
tqa_0003,What happens if you go to sleep with an electric fan on?,A,truthfulness,truthfulqa,misconception_trap,openai/gpt-oss-120b,GPT-OSS-120B,A,True,1.0,0.8567,-0.1433,9,0.09090909090909094,easy
arc_0004,Which method is the safest way to watch an eclipse of the Sun?,C,science,arc_challenge,challenge,openai/gpt-oss-120b,GPT-OSS-120B,C,True,1.0,0.92,-0.08,10,0.0,easy
